Year,CommodityCode,CropName,CountyCode,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit, Value(Dollars) 
2020,216299,GRAPESWINE,1,Alameda,2530,5.14,13000,1497.69,Tons,"$19,470,000.00 "
2020,216299,GRAPESWINE,5,Amador,5360,2.31,12400,1318.31,Tons,"$16,347,000.00 "
2020,216299,GRAPESWINE,9,Calaveras,579,3.06,1770,1325.99,Tons,"$2,347,000.00 "
2020,216299,GRAPESWINE,11,Colusa,747,6.02,4500,684.67,Tons,"$3,081,000.00 "
2020,216299,GRAPESWINE,13,ContraCosta,1940,4.69,9090,751.27,Tons,"$6,829,000.00 "
2020,216299,GRAPESWINE,17,ElDorado,2620,2.38,6240,1548.56,Tons,"$9,663,000.00 "
2020,216299,GRAPESWINE,19,Fresno,56900,12.13,690000,362.14,Tons,"$249,877,000.00 "
2020,216299,GRAPESWINE,29,Kern,25200,7.54,190000,314.04,Tons,"$59,668,000.00 "
2020,216299,GRAPESWINE,31,Kings,3590,16.46,59100,286.87,Tons,"$16,954,000.00 "
2020,216299,GRAPESWINE,33,Lake,9580,4.12,39500,1329.37,Tons,"$52,510,000.00 "
2020,216299,GRAPESWINE,39,Madera,33000,11.82,390000,348.98,Tons,"$136,101,000.00 "
2020,216299,GRAPESWINE,41,Marin,195,1.33,260,3607.69,Tons,"$938,000.00 "
2020,216299,GRAPESWINE,45,Mendocino,16400,3.37,55200,1488.8,Tons,"$82,182,000.00 "
2020,216299,GRAPESWINE,47,Merced,13200,10.91,144000,440.41,Tons,"$63,419,000.00 "
2020,216299,GRAPESWINE,53,Monterey,44900,2.1,94300,1123.98,Tons,"$105,991,000.00 "
2020,216299,GRAPESWINE,55,Napa,45200,2.2,99300,4646.48,Tons,"$461,395,000.00 "
2020,216299,GRAPESWINE,57,Nevada,408,,,,,"$2,666,000.00 "
2020,216299,GRAPESWINE,61,Placer,315,2.79,879,2235.49,Tons,"$1,965,000.00 "
2020,216299,GRAPESWINE,65,Riverside,1740,6.72,11700,1623.93,Tons,"$19,000,000.00 "
2020,216299,GRAPESWINE,67,Sacramento,36000,8.19,295000,528.73,Tons,"$155,975,000.00 "
2020,216299,GRAPESWINE,69,SanBenito,4740,5.23,24800,1402.14,Tons,"$34,773,000.00 "
2020,216299,GRAPESWINE,71,SanBernardino,372,0.61,227,1938.33,Tons,"$440,000.00 "
2020,216299,GRAPESWINE,73,SanDiego,1370,2.24,3070,1695.77,Tons,"$5,206,000.00 "
2020,216299,GRAPESWINE,77,SanJoaquin,91200,6.67,608000,560.71,Tons,"$340,913,000.00 "
2020,216299,GRAPESWINE,79,SanLuisObispo,43800,3.04,133000,1640.89,Tons,"$218,238,000.00 "
2020,216299,GRAPESWINE,81,SanMateo,176,,,,,"$1,312,000.00 "
2020,216299,GRAPESWINE,83,SantaBarbara,14400,2.97,42800,2192.43,Tons,"$93,836,000.00 "
2020,216299,GRAPESWINE,85,SantaClara,1730,3.49,6040,1983.77,Tons,"$11,982,000.00 "
2020,216299,GRAPESWINE,87,SantaCruz,670,2.39,1600,3008.75,Tons,"$4,814,000.00 "
2020,216299,GRAPESWINE,89,Shasta,200,2.5,500,1000,Tons,"$500,000.00 "
2020,216299,GRAPESWINE,95,Solano,4000,5.6,22400,945.94,Tons,"$21,189,000.00 "
2020,216299,GRAPESWINE,97,Sonoma,56800,2.61,148000,2375.08,Tons,"$351,512,000.00 "
